PrincetonID,Genotype,Location,InfectionStatus,Block,IFN-? (A4),IL-5 (A5),TNF-? (A6),IL-6 (A8),IL-17A (B4),IL-22 (B7)
477,C57,Lab,Uninfected,1,1.1,0.4,2.5,9.92,4.01,1.01
415,C57,SF,Uninfected,1,0.93,3.88,3.67,27.7,3.36,1.57
416,C57,SF,Infected,1,27.42,1.34,6.22,39.97,15.49,7.77
417,C57,Lab,Uninfected,1,1.09,0.65,2.3,21.93,2.64,1.47
419,C57,Lab,Infected,1,6162.1,0.4,28.69,54.45,2.85,22.02
420,C57,Lab,Infected,1,8.21,0.4,3.21,9.18,2.63,2.11
421,C57,SF,Uninfected,1,1.1,53.91,20.22,25.34,30.35,2.58
422,C57,Lab,Uninfected,1,0.62,2.06,0.05,13.99,5.64,2.02
423,C57,SF,Infected,1,21.85,4.38,7.42,32.55,2.4,8.63
424,C57,SF,Infected,1,19.68,23.22,10.05,35.8,5.67,18.83
425,129SL,SF,Infected,1,26.8,39.69,6.93,13.87,1.73,25.3
426,129SL,Lab,Infected,1,25.5,25.26,3.56,8.35,4.68,11.96
427,129SL,SF,Uninfected,1,1.26,77.6,4.58,11.29,1.55,0.43
428,129SL,Lab,Uninfected,1,0.79,11.64,3.83,0.45,0.47,1.38
429,129SL,SF,Infected,1,5.34,12.43,5.45,13.07,0.77,0.41
433,129SL,Lab,Infected,1,0.56,32.68,3.43,3.58,2.46,3.07
434,129SL,Lab,Uninfected,1,0.51,22.5,2.35,0.48,1.71,6.06
435,129SL,Lab,Uninfected,1,0.85,28.51,2.05,3.87,4.08,16.32
66666,129SL,SF,Uninfected,1,0.78,12.09,1.93,6.52,1.87,0.1
437,129SL,SF,Infected,1,1.09,18.43,5.43,12.51,2.38,8.46
438,129SL,Lab,Infected,1,0.85,20.01,1.95,0.45,0.49,0.1
440,129SL,Lab,Infected,1,0.83,6.75,2.99,1.49,0.9,9.86
441,129SL,SF,Uninfected,1,0.65,21.97,0.05,12.9,6.38,0.1
478,129SL,Lab,Uninfected,1,0.67,5.16,1.42,1.62,0.33,3.25
475,129SL,SF,Uninfected,1,0.39,18.13,1.28,9.24,2.14,1.82
445,129SL,Lab,Uninfected,1,0.46,11.92,3.4,1.26,1.65,6.46
446,129SL,SF,Uninfected,1,215.54,24.12,3.33,13.23,1.93,5.54
447,129SL,Lab,Infected,1,0.5,27.58,3.75,1.56,1.6,3.68
476,129SL,SF,Infected,1,12.02,16.15,3.19,12.71,42.04,2.28
450,PWK,SF,Uninfected,1,1.1,3.8,12.6,11.4,1.95,1.82
451,PWK,Lab,Infected,1,0.47,0.4,2.08,12.6,9.31,1.37
452,PWK,SF,Infected,1,0.74,0.61,0.38,15.34,1.04,0.12
453,PWK,SF,Infected,1,0.63,0.4,0.06,19.08,0.82,1.33
454,PWK,Lab,Uninfected,1,0.29,2.52,4,10.92,1.36,0.1
455,PWK,Lab,Infected,1,0.46,0.4,0.23,4.62,1.34,0.1
456,PWK,Lab,Uninfected,1,0.3,0.4,1.66,5.85,0.63,0.1
459,PWK,SF,Uninfected,1,0.19,2.52,7.1,12.02,0.71,0.1
460,PWK,Lab,Infected,1,0.24,0.47,0.05,1.78,0.59,0.1
461,PWK,Lab,Uninfected,1,0.46,0.31,2.09,1.27,1.74,0.21
464,PWK,SF,Infected,1,1.24,0.4,3.44,17.37,0.28,1.42
465,PWK,SF,Uninfected,1,0.32,0.4,6.74,12.26,1.64,1.14
466,PWK,SF,Infected,1,0.09,0.4,0.05,9.79,1.14,0.1
467,PWK,Lab,Infected,1,0.22,0.49,1.21,38.08,4.53,4.74
468,PWK,Lab,Uninfected,1,0.35,0.59,1.45,1.03,0.93,1.56
470,PWK,Lab,Infected,1,1.17,0.4,0.79,3.6,0.3,0.1
471,PWK,SF,Uninfected,1,0.79,0.4,5.65,5.04,0.74,0.1
472,PWK,Lab,Uninfected,1,0.06,0.4,0.05,1.5,0.23,0.1
474,PWK,SF,Infected,1,0.6,0.4,3.44,4.43,0.97,0.36
