Unique_Sample_ID,Time_place_of_CBC_analysis,Genotype,Princeton/NIH_Tag,CageID,Parents,Age,Location,Notes,Infection_Status,Block,WBC_count,Neu_count,Lym_count,Mon_count,Eos_count,Bas_count,Neu_percent,Lym_percent,Mon_percent,Eos_percent,Bas_percent,RBC_count,HGB (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW-CV (%),MPV (fL)
7032_2 weeks_C57_Lab,2 weeks,C57,410,14,G552,10,Lab,,N,1,9.85,1.69,7.47,0.17,0.46,0.06,17.2,75.9,1.7,4.6,0.6,10.61,16.7,44.3,41.7,15.8,37.8,12.5,5.4
7032_5 weeks _C57_Lab,5 weeks,C57,410,14,G552,13,Lab,,Tm,1,3.82,1.88,1.74,0.05,0.12,0.03,49.2,45.6,1.2,3,1,10.08,15.7,42.7,42.3,15.5,36.7,14.1,5.4
7033_U_NIH_C57_Lab,NIH,C57,7033_U,14,G552,6,,,N,1,6.78,0.75,5.59,0.29,0.12,0.03,11,82.4,4.4,1.7,0.5,7.34,11.8,33.7,45.9,16.1,35.2,17.7,5.2
7033_U_2 weeks_C57_SF,2 weeks,C57,411,14,,10,SF,,N,1,3.95,1.3,2.43,0.06,0.15,0.01,32.9,61.4,1.5,3.8,0.4,10.16,15.9,45,44.3,15.7,35.5,16.1,5.4
7033_U_5 weeks _C57_SF,5 weeks,C57,411,14,,13,SF,,Tm,1,1.24,0.21,0.92,0.06,0.04,0.01,16.4,73.9,4.9,3.9,0.9,10.71,16.9,47.6,44.4,15.8,35.6,16.8,5.3
7035_U_NIH_C57_Lab,NIH,C57,7035_U,14,G552,6,,,N,1,9.19,0.83,7.8,0.13,0.36,0.07,9.1,84.9,1.5,3.8,0.7,8.81,14.9,40.1,45.5,16.9,37.2,16.8,4.9
7035_U_2 weeks_C57_SF,2 weeks,C57,412,14,,10,SF,,N,1,2.99,0.93,1.22,0.1,0.7,0.04,31.1,40.5,3.5,23.5,1.4,11.01,17.2,48.4,44,15.6,35.5,14.6,5.6
7035_U_5 weeks _C57_SF,5 weeks,C57,412,14,,13,SF,,N,1,3.61,0.97,2.43,0.11,0.08,0.02,26.6,67.1,3.3,2.3,0.7,10.49,16.6,46.7,44.5,15.8,35.6,15.6,5.3
7040_U_NIH_C57_Lab,NIH,C57,7040_U,14,G578,6,,,N,1,7.37,0.74,6.11,0.14,0.34,0.04,10,82.8,1.9,4.7,0.6,9.46,15.3,42.6,45.1,16.2,36,23.9,5
7040_U_2 weeks_C57_SF,2 weeks,C57,413,14,,10,SF,,N,1,2.5,0.44,1.85,0.04,0.14,0.03,17.4,73.7,1.9,5.8,1.2,10.45,16.4,45.6,43.6,15.7,35.9,15.9,5.8
7040_U_5 weeks _C57_SF,5 weeks,C57,413,14,,13,SF,,Tm,1,2.25,0.81,1.33,0.05,0.03,0.03,36,58.8,1.9,1.6,1.7,11,17.2,47.2,42.9,15.6,36.4,16.5,5.4
7041_U_NIH_C57_Lab,NIH,C57,7041_U,14,G578,6,,,N,1,9.36,0.95,7.71,0.18,0.4,0.12,10.1,82.4,2,4.2,1.3,9.43,15.1,43.3,46,16.1,35,18.4,5
7041_U_2 weeks_C57_Lab,2 weeks,C57,477,14,,10,Lab,,N,1,8.06,2.37,5.42,0.08,0.08,0.11,29.4,67.3,1,1,1.3,10.5,16,44,41.9,15.2,36.4,13.4,5.4
7041_U_5 weeks _C57_Lab,5 weeks,C57,477,14,,13,Lab,,N,1,4.38,0.51,2.99,0.16,0.69,0.03,11.6,68.1,3.8,15.7,0.8,9.9,15.3,41.6,42,15.5,36.9,14.9,4.6
7028_NIH_C57_Lab,NIH,C57,415,15,G567,6,SF,,N,1,8.5,0.61,7.01,0.21,0.61,0.06,7.1,82.5,2.5,7.2,0.7,8.83,14.5,40.7,46.2,16.5,35.6,17.2,5.3
7028_2 weeks_C57_SF,2 weeks,C57,415,15,G567,10,SF,,N,1,2.88,0.64,1.91,0.12,0.19,0.02,22,66,4.4,6.8,0.8,11.18,17.6,48.9,43.8,15.8,36,14.9,5.5
7028_5 weeks _C57_SF,5 weeks,C57,415,15,G567,13,SF,,N,1,3.28,1.03,2.02,0.19,0.03,0.01,31.4,61.5,5.7,0.9,0.5,10.56,16.7,46.4,43.9,15.8,36.1,15.5,5.2
7024_NIH_C57_Lab,NIH,C57,416,15,G567,6,SF,,N,1,4.9,0.58,3.7,0.2,0.38,0.04,11.7,75.5,4.2,7.8,0.8,8.98,15.2,41.3,46.1,16.9,36.7,16.2,5
7024_2 weeks_C57_SF,2 weeks,C57,416,15,G567,10,SF,,N,1,3.11,0.73,2.15,0.07,0.13,0.03,23.3,68.9,2.5,4.3,1,10.62,17,48,45.2,16,35.3,17.3,5.6
7024_5 weeks _C57_SF,5 weeks,C57,416,15,G567,13,SF,,Tm,1,2.19,1,1,0.07,0.07,0.05,45.3,45.7,3.4,3.4,2.2,9.81,15.4,42.8,43.7,15.7,35.9,16.4,5.3
7025_NIH_C57_Lab,NIH,C57,417,15,G567,6,Lab,,N,1,7.05,1.54,4.75,0.2,0.5,0.06,21.8,67.4,2.9,7,0.9,9.19,15.3,42.5,46.2,16.6,35.9,15.3,5.1
7025_2 weeks_C57_Lab,2 weeks,C57,417,15,G567,10,Lab,,N,1,9.19,2.85,6.08,0.09,0.09,0.08,31,66.1,0.9,1.1,0.9,10.1,15.9,43.5,43.1,15.7,36.5,12.2,6.1
7025_5 weeks _C57_Lab,5 weeks,C57,417,15,G567,13,Lab,,N,1,4.9,0.69,3.98,0.12,0.09,0.02,14.1,81.2,2.2,2,0.5,9.89,15.6,43,43.5,15.8,36.3,13.3,4.9
7029_NIH_C57_Lab,NIH,C57,418,15,G567,6,SF,,N,1,7.25,2.28,4.42,0.17,0.32,0.06,31.5,61,2.3,4.3,0.9,8.49,14.2,39.1,46.1,16.7,36.3,18.2,5.6
7029_2 weeks_C57_SF,2 weeks,C57,418,15,G567,10,SF,,N,1,4.72,1.53,2.72,0.13,0.31,0.03,32.5,57.5,2.7,6.6,0.7,10.46,17,46.3,44.2,16.3,36.8,14.8,5.6
7027_NIH_C57_Lab,NIH,C57,419,15,G567,6,Lab,,N,1,8.61,0.77,6.87,0.44,0.42,0.11,8.9,79.8,5.2,4.8,1.3,8.75,14.6,40.8,46.6,16.7,35.8,17,5.5
7027_2 weeks_C57_Lab,2 weeks,C57,419,15,G567,10,Lab,,N,1,6.36,1.89,4.22,0.11,0.09,0.05,29.7,66.3,1.7,1.5,0.8,10.44,16.4,44.6,42.7,15.7,36.9,11.9,5.7
7027_5 weeks _C57_Lab,5 weeks,C57,419,15,G567,13,Lab,,Tm,1,1.67,0.32,1.22,0.06,0.04,0.03,19,72.7,3.9,2.6,1.8,9.98,15.5,42.1,42.2,15.6,36.9,13.9,5.1
7042_NIH_C57_Lab,NIH,C57,420,16,G578,6,Lab,,N,1,8.64,1.23,6.61,0.16,0.55,0.09,14.3,76.5,1.9,6.2,1.1,9.32,15.1,41.8,44.8,16.2,36.2,20.7,5.3
7042_2 weeks_C57_Lab,2 weeks,C57,420,16,G578,10,Lab,,N,1,11.02,2.06,8.58,0.11,0.19,0.08,18.7,77.9,1,1.6,0.8,10.11,15.7,42.5,42.1,15.6,37,12.6,5.6
7042_5 weeks _C57_Lab,5 weeks,C57,420,16,G578,13,Lab,,Tm,1,3.25,0.33,2.74,0.1,0.05,0.03,10.2,84.2,3.2,1.5,0.9,10.2,15.5,42.8,42,15.2,36.2,14.7,4.8
7043_NIH_C57_Lab,NIH,C57,421,16,G571,5,SF,,N,1,9.63,0.81,8.03,0.33,0.39,0.07,8.4,83.4,3.4,4.1,0.7,8.59,13.7,37.5,43.7,16,36.6,22.7,4.8
7043_2 weeks_C57_SF,2 weeks,C57,421,16,G571,9,SF,,N,1,3.77,0.7,2.69,0.21,0.15,0.02,18.6,71.2,5.5,4,0.7,9.68,15.6,42.1,43.5,16.1,36.9,14.2,5.4
7043_5 weeks _C57_SF,5 weeks,C57,421,16,G571,12,SF,,N,1,2.45,0.7,1.5,0.15,0.09,0.01,28.4,61.2,6,3.7,0.7,10.62,16.8,47.6,44.8,15.8,35.3,15.6,5.2
7039_NIH_C57_Lab,NIH,C57,422,16,G578,6,Lab,,N,1,9.64,1.13,7.49,0.31,0.59,0.12,11.8,77.7,3.2,6,1.3,9.27,15.1,42.6,46,16.3,35.4,14.8,5.3
7039_2 weeks_C57_Lab,2 weeks,C57,422,16,G578,10,Lab,,N,1,8.59,3.31,5,0.1,0.13,0.05,38.6,58.3,1.1,1.5,0.5,10.47,16.3,44.5,42.5,15.6,36.6,12,5.5
7039_5 weeks _C57_Lab,5 weeks,C57,422,16,G578,13,Lab,,N,1,4.14,1.5,2.47,0.04,0.11,0.02,36.2,59.7,0.8,2.6,0.7,9.95,15.4,42.7,42.9,15.5,36.1,13.1,5.1
7036_NIH_C57_Lab,NIH,C57,423,16,G578,6,SF,,N,1,6.47,0.61,5.43,0.14,0.23,0.06,9.4,83.9,2.2,3.5,1,9.32,15.3,42.7,45.8,16.4,35.8,16.6,4.9
7036_2 weeks_C57_SF,2 weeks,C57,423,16,G578,10,SF,,N,1,4.03,1.95,1.88,0.04,0.13,0.03,48.4,46.6,1,3.1,0.9,11.17,17.4,47.7,42.7,15.6,36.4,15.3,6.1
7036_5 weeks _C57_SF,5 weeks,C57,423,16,G578,13,SF,,Tm,1,1.35,0.32,0.93,0.07,0.02,0.01,23.7,68.4,5,2,0.9,10.76,16.9,47,43.6,15.7,36.1,16.7,5.2
7037_NIH_C57_Lab,NIH,C57,424,16,G578,6,SF,,N,1,7.91,0.88,6.51,0.13,0.33,0.06,11.2,82.3,1.6,4.2,0.7,8.46,14,38.8,45.9,16.6,36.1,17,5.4
7037_2 weeks_C57_SF,2 weeks,C57,424,16,G578,10,SF,,N,1,2.76,0.74,1.92,0.03,0.04,0.03,26.9,69.3,1.3,1.3,1.2,9.94,15.6,44,44.3,15.7,35.5,17,5.8
7037_5 weeks _C57_SF,5 weeks,C57,424,16,G578,13,SF,,Tm,1,3.14,0.78,2.02,0.18,0.1,0.06,24.7,64.4,5.6,3.3,2,10.75,17.1,47.4,44.1,15.9,36.1,17.3,5.4
7018_NIH_129_Lab,NIH,129,425,17,G429,7,SF,,N,1,8.08,0.75,6.92,0.18,0.21,0.02,9.3,85.7,2.2,2.6,0.2,9.6,16.2,45.7,47.6,16.9,35.5,14.4,4.5
7018_2 weeks_129_SF,2 weeks,129,425,17,G429,11,SF,,N,1,2.43,1.23,1.08,0.03,0.07,0.02,50.5,44.4,1.6,2.6,0.9,10.15,16.7,47.6,46.9,16.5,35.1,15.9,5.6
7018_5 weeks _129_SF,5 weeks,129,425,17,G429,14,SF,,Tm,1,1.8,1.07,0.62,0.08,0.01,0.02,59.1,34.3,4.5,0.9,1.2,11.59,19.3,55.5,47.9,16.7,34.8,16.5,4.7
7016_NIH_129_Lab,NIH,129,426,17,G460,6,Lab,,N,1,8.35,0.78,7.27,0.16,0.13,0.01,9.3,87.1,1.9,1.5,0.2,8.56,15,42.2,49.2,17.5,35.5,15.3,4.3
7016_2 weeks_129_Lab,2 weeks,129,426,17,G460,10,Lab,,N,1,12.14,2.53,9.26,0.08,0.23,0.04,20.8,76.3,0.7,1.9,0.3,10.78,17.3,49.1,45.6,16.1,35.3,13.5,5.4
7016_5 weeks _129_Lab,5 weeks,129,426,17,G460,13,Lab,,Tm,1,1.93,0.5,1.33,0.04,0.06,0,25.7,68.8,2.5,2.6,0.4,10.42,16.4,46.8,45,15.7,35,14.7,4
7017_NIH_129_Lab,NIH,129,427,17,G459,6,SF,,N,1,6.82,0.65,5.86,0.11,0.16,0.04,9.6,85.8,1.6,2.4,0.6,9.44,16.1,46,48.7,17,35,15.2,4.6
7017_5 weeks _129_SF,5 weeks,129,427,17,G459,13,SF,,N,1,2.42,0.55,1.58,0.07,0.2,0.02,22.4,65.3,2.9,8.5,0.9,10.31,17.2,48.8,47.3,16.7,35.3,16.3,4.4
7014_NIH_129_Lab,NIH,129,428,17,G460,6,Lab,,N,1,8.8,0.8,7.65,0.17,0.14,0.04,9.1,86.9,2,1.6,0.4,9.13,15.5,44.3,48.5,17,34.9,15.7,4.4
7014_2 weeks_129_Lab,2 weeks,129,428,17,G460,10,Lab,,N,1,8.15,0.63,6.95,0.09,0.47,0.01,7.7,85.3,1.1,5.7,0.2,8.06,13.2,37.5,46.6,16.4,35.2,14.2,5.5
7014_5 weeks _129_Lab,5 weeks,129,428,17,G460,13,Lab,,N,1,2.57,0.46,1.98,0.07,0.06,0,17.6,76.9,2.8,2.6,0.1,10.76,17,48.3,44.9,15.8,35.2,14.6,3.9
7015_NIH_129_Lab,NIH,129,429,17,G460,6,SF,,N,1,9.46,0.97,8.01,0.29,0.15,0.04,10.2,84.7,3.1,1.6,0.4,8.56,14.9,42,49,17.4,35.4,15.7,4.5
7015_2 weeks_129_SF,2 weeks,129,429,17,G460,10,SF,,N,1,2.22,0.59,1.28,0.03,0.3,0.02,26.5,57.5,1.4,13.4,1.2,9.85,16.2,46.1,46.8,16.5,35.2,15.5,5.6
7015_5 weeks _129_SF,5 weeks,129,429,17,G460,13,SF,,Tm,1,1.8,0.55,1.12,0.08,0.03,0.02,30.2,61.9,4.6,1.9,1.4,10.79,17.8,50.8,47.1,16.5,35,16.8,5
7020_NIH_129_Lab,NIH,129,430,18,G429,7,Lab,,N,1,6.88,1.22,4.51,0.09,1.02,0.04,17.6,65.6,1.3,14.9,0.6,9.7,17.1,46.4,47.9,17.6,36.8,16.6,5.4
7011_NIH_129_Lab,NIH,129,432,18,G454,6,SF,,N,1,6.44,1.51,4.69,0.05,0.16,0.03,23.5,72.7,0.9,2.5,0.4,9.47,16.4,45.6,48.1,17.3,36,16.3,5.2
7011_2 weeks_129_SF,2 weeks,129,432,18,G454,10,SF,,N,1,3.24,2.24,0.71,0.12,0.07,0.1,69,21.9,3.5,2.3,3.3,9.28,16,45,48.5,17.2,35.5,18.7,5.6
7012_NIH_129_Lab,NIH,129,433,18,G454,6,Lab,,N,1,7.51,1.28,5.95,0.08,0.16,0.04,17,79.2,1.1,2.2,0.5,9.51,16.4,45,47.4,17.2,36.4,16.1,4.7
7012_2 weeks_129_Lab,2 weeks,129,433,18,G454,10,Lab,,N,1,6.5,2.07,4.14,0.09,0.13,0.07,31.9,63.7,1.4,1.8,1.2,10,16.2,45.8,45.8,16.2,35.4,14.7,5.1
7012_5 weeks _129_Lab,5 weeks,129,433,18,G454,13,Lab,,Tm,1,2.84,0.71,2,0.04,0.08,0.01,24.8,70.2,1.5,3,0.5,10.4,16.7,47.3,45.5,16.1,35.3,15.4,4
7013_NIH_129_Lab,NIH,129,434,18,G454,6,Lab,,N,1,9.7,1.03,8.08,0.23,0.31,0.05,10.6,83.3,2.3,3.2,0.6,9.65,16.7,45.8,47.4,17.3,36.4,16.1,4.5
7013_2 weeks_129_Lab,2 weeks,129,434,18,G454,10,Lab,,N,1,5.83,1.07,4.44,0.08,0.22,0.02,18.3,76.1,1.5,3.7,0.4,10.38,17,47.7,46,16.4,35.7,14.5,5.2
7013_5 weeks _129_Lab,5 weeks,129,434,18,G454,13,Lab,,N,1,4.6,0.82,3.61,0.1,0.06,0.01,17.7,78.5,2.1,1.4,0.3,10.08,16.6,45.7,45.3,16.5,36.3,15.8,4.7
7006_NIH_129_Lab,NIH,129,435,19,G461,6,Lab,,N,1,8.28,0.82,7.14,0.21,0.09,0.02,9.9,86.2,2.5,1.1,0.3,8.78,15.1,42.8,48.8,17.2,35.2,16.1,4.6
7006_2 weeks_129_Lab,2 weeks,129,435,19,G461,10,Lab,,N,1,7.89,2.5,5.17,0.07,0.13,0.02,31.7,65.5,0.9,1.6,0.3,9.17,14.7,41.8,45.6,16,35.2,13.8,5.8
7006_5 weeks _129_Lab,5 weeks,129,435,19,G461,13,Lab,,N,1,2.55,0.58,1.85,0.04,0.07,0.01,22.8,72.3,1.7,2.8,0.4,9.96,15.8,44.9,45.1,15.9,35.2,14.8,4.1
7010_NIH_129_Lab,NIH,129,436,19,G430,7,SF,,N,1,5.05,0.46,4.41,0.09,0.08,0.01,9,87.4,1.7,1.6,0.3,7.14,12.7,34.8,48.8,17.8,36.6,17.2,5.1
7010_2 weeks_129_SF,2 weeks,129,436,19,G430,11,SF,,N,1,2.98,1.63,1.12,0.04,0.15,0.04,54.5,37.3,1.6,5.1,1.5,9.7,15.9,45.3,46.7,16.3,35,15.8,5.2
7010_5 weeks _129_SF,5 weeks,129,436,19,G430,14,SF,,N,1,2.22,0.74,1.12,0.21,0.13,0.02,33.2,50.3,9.6,5.9,1,11.05,18,51.9,47,16.3,34.6,17.2,4.8
7007_NIH_129_Lab,NIH,129,437,19,G461,6,SF,,N,1,7.7,1,6.3,0.23,0.13,0.04,13,81.8,2.9,1.8,0.5,8.38,14.8,41.1,49.1,17.7,36,14.8,4.6
7007_2 weeks_129_SF,2 weeks,129,437,19,G461,10,SF,,N,1,3.22,1.54,1.41,0.1,0.15,0.02,47.8,43.7,3.4,4.4,0.7,9.31,15.4,44,47.2,16.6,35,15,5.4
7007_5 weeks _129_SF,5 weeks,129,437,19,G461,13,SF,,Tm,1,1.19,0.38,0.69,0.03,0.07,0.02,32.1,57.6,2.5,6.1,1.7,9.25,16,45.2,48.9,17.3,35.3,15.8,4.8
7009_NIH_129_Lab,NIH,129,438,19,G430,7,Lab,,N,1,7.79,0.76,6.73,0.11,0.15,0.04,9.7,86.4,1.4,2,0.5,9.48,16.1,45.5,48,17,35.3,16.3,4.8
7009_2 weeks_129_Lab,2 weeks,129,438,19,G430,11,Lab,,N,1,11.48,2.79,8.33,0.11,0.21,0.04,24.4,72.6,0.9,1.8,0.3,10.58,16.8,47.6,45,15.9,35.3,13.9,5.7
7009_5 weeks _129_Lab,5 weeks,129,438,19,G430,14,Lab,,Tm,1,2.59,0.45,1.92,0.08,0.13,0.01,17.2,74.1,3.2,5.1,0.4,10.45,16.6,46.7,44.7,15.9,35.5,14.7,4
7008_NIH_129_Lab,NIH,129,439,19,G461,6,SF,,N,1,8.32,0.94,6.91,0.25,0.18,0.04,11.3,83.1,3,2.1,0.5,8.51,14.7,41.9,49.2,17.2,35,15.8,4.5
7008_2 weeks_129_SF,2 weeks,129,439,19,G461,10,SF,,N,1,3.79,2.09,1.57,0.03,0.08,0.02,55,41.4,0.8,2.2,0.6,10.85,17.6,50.4,46.5,16.2,34.8,14.9,5.7
7002_NIH_129_Lab,NIH,129,440,20,G457,6,Lab,,N,1,6.51,0.67,5.46,0.12,0.23,0.03,10.3,83.9,1.9,3.4,0.5,9.95,16.9,46.8,47,17,36.2,16.2,4.5
7002_2 weeks_129_Lab,2 weeks,129,440,20,G457,10,Lab,,N,1,5.8,2.47,3.13,0.06,0.12,0.02,42.5,53.9,1.1,2.2,0.3,10.03,16.3,46,45.9,16.3,35.5,14.3,6
7002_5 weeks _129_Lab,5 weeks,129,440,20,G457,13,Lab,,Tm,1,2.82,0.48,2.26,0.03,0.05,0,17,80,1.3,1.6,0.1,10.29,15.9,45.9,44.6,15.4,34.6,14.3,3.8
7003_NIH_129_Lab,NIH,129,441,20,G459,6,SF,,N,1,6.26,0.78,5.2,0.1,0.15,0.03,12.4,83,1.7,2.4,0.5,9.83,16.7,46.7,47.5,17,35.8,15.5,4.4
7003_5 weeks _129_SF,5 weeks,129,441,20,G459,13,SF,,N,1,2.71,1.01,1.56,0.06,0.07,0.01,37.1,57.4,2.4,2.6,0.5,10.57,17.8,49.4,46.8,16.8,36,15.6,4.3
7005_NIH_129_Lab,NIH,129,478,20,G456,6,Lab,,N,1,7.27,1,5.78,0.14,0.29,0.06,13.8,79.5,1.9,3.9,0.9,9.88,17.3,47.9,48.5,17.5,36.2,15.8,4.6
7005_2 weeks_129_Lab,2 weeks,129,478,20,G456,10,Lab,,N,1,6.11,1.66,4.23,0.06,0.12,0.04,27.2,69.3,0.9,1.9,0.7,10.17,16.7,47.5,46.7,16.4,35.2,14.4,5.1
7005_5 weeks _129_Lab,5 weeks,129,478,20,G456,13,Lab,,N,1,3.3,0.47,2.73,0.06,0.02,0.02,14.1,82.5,1.9,0.7,0.8,10.8,17.1,48.7,45.1,15.8,35.1,14.4,4.1
7001_NIH_129_Lab,NIH,129,475,20,G457,6,SF,,N,1,7.42,0.53,6.52,0.18,0.16,0.03,7.1,87.8,2.4,2.2,0.5,9.48,16.6,46.1,48.6,17.5,36,15.9,4.4
7001_5 weeks _129_SF,5 weeks,129,475,20,G457,13,SF,,N,1,1.9,0.74,0.98,0.14,0.04,0,38.5,51.3,7.8,2.2,0.2,9.19,15.6,44.4,48.3,16.9,35.1,15.7,4.7
7055_NIH_129_Lab,NIH,129,445,21,G430,3,Lab,,N,1,5.66,1.36,4.15,0.05,0.07,0.03,24.1,73.3,0.9,1.1,0.6,8.85,16,44.2,49.9,18.1,36.2,18.9,5.1
7055_2 weeks_129_Lab,2 weeks,129,445,21,G430,8,Lab,,N,1,9.88,2.07,7.32,0.1,0.36,0.03,20.9,74.1,1,3.7,0.3,10.45,17.1,48.7,46.7,16.4,35.1,15,5.6
